ID	s	d	ts	te	LLC	ELC
1578	24	32	1	6	3	1.0
2558	24	32	2	6	3	1.0
3538	24	32	3	6	3	1.0
4518	24	32	4	6	3	1.0
481	20	32	0	6	3	1.0
1461	20	32	1	6	3	1.0
2441	20	32	2	6	3	1.0
3421	20	32	3	6	3	1.0
4401	20	32	4	6	3	1.0
599	24	33	0	6	3	1.0
1579	24	33	1	6	3	1.0
2559	24	33	2	6	3	1.0
482	20	33	0	6	3	1.0
1462	20	33	1	6	3	1.0
2442	20	33	2	6	3	1.0
419	17	33	0	6	7	1.0
1399	17	33	1	6	7	1.0
2379	17	33	2	6	7	1.0
3359	17	33	3	6	7	1.0
4339	17	33	4	6	7	1.0
5317	17	33	5	6	7	1.0
6291	17	33	6	6	7	1.0
6260	16	33	6	6	6	1.0
458	20	1	0	7	4	1.0
1438	20	1	1	7	4	1.0
2418	20	1	2	7	4	1.0
3398	20	1	3	7	4	1.0
2040	4	1	2	7	4	2.0
1060	4	1	1	7	4	2.0
80	4	1	0	7	4	2.0
1155	8	3	1	7	7	1.0
2135	8	3	2	7	7	1.0
2138	9	3	2	7	7	2.0
1158	9	3	1	7	7	2.0
178	9	3	0	7	7	2.0
3115	8	3	3	7	7	1.0
4095	8	3	4	7	7	1.0
5073	8	3	5	7	7	1.0
6047	8	3	6	7	1	1.0
577	24	4	0	7	3	1.0
1557	24	4	1	7	3	1.0
2537	24	4	2	7	3	1.0
3517	24	4	3	7	3	1.0
4497	24	4	4	7	3	1.0
460	20	4	0	7	3	1.0
1440	20	4	1	7	3	1.0
2420	20	4	2	7	3	1.0
3400	20	4	3	7	3	1.0
4380	20	4	4	7	3	1.0
2964	1	4	3	7	5	3.0
1984	1	4	2	7	5	2.0
1004	1	4	1	7	5	2.0
2733	32	15	2	7	6	2.0
1753	32	15	1	7	6	2.0
773	32	15	0	7	6	2.0
1012	1	15	1	7	6	3.0
1992	1	15	2	7	6	3.0
2972	1	15	3	7	6	4.0
4388	20	15	4	7	6	2.0
