2007-11-03,3027 X,3027 Y,3028 X,3028 Y,3029 X,3029 Y,3030 X,3030 Y,3031 X,3031 Y,3032 X,3032 Y,3033 X,3033 Y,3034 X,3034 Y,3035 X,3035 Y,3036 X,3036 Y,3037 X,3037 Y,3039 X,3039 Y,3040 X,3040 Y,3041 X,3041 Y,3103 X,3103 Y,3112 X,3112 Y,3115 X,3115 Y
8:0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.407406,-72.53014,-,-,-,-,-,-
8:1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.40941,-72.53596,-,-,-,-,-,-
8:2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.415974,-72.53707,-,-,-,-,-,-
8:3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.42636,-72.53963,-,-,-,-,-,-
8:4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.434532,-72.54587,-,-,-,-,-,-
8:5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-0.0,-,-,-,-,-,-,-,-,42.444603,-72.553535,-,-,-,-,-,-
8:6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-1.1095744E27,-,-,-,-,-,-,-,-,42.451813,-72.56307,42.405685,-72.53247,-,-,-,-
8:7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-0.0,-,-,-,-,-,-,-,-,-,-,42.40475,-72.5297,-,-,-,-
8:8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-0.0,-,-,-,-,-,-,-,-,-,-,42.40268,-72.52867,-,-,-,-
8:9,-,-,-,-,42.393932,-72.53363,-,-,-,-,-,-,-,-,-,-,0.0,-0.0,-,-,-,-,-,-,-,-,-,-,42.394814,-72.52675,-,-,-,-
8:10,-,-,-,-,42.393852,-72.53306,-,-,-,-,-,-,-,-,-,-,0.0,-0.0,-,-,-,-,-,-,-,-,-,-,42.39342,-72.52592,-,-,-,-
8:11,-,-,-,-,42.393845,-72.53297,-,-,-,-,-,-,-,-,-,-,0.0,-0.0,-,-,-,-,-,-,-,-,-,-,42.39296,-72.52569,-,-,-,-
8:12,-,-,-,-,42.393753,-72.53228,-,-,-,-,-,-,-,-,-,-,0.0,-0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:13,-,-,-,-,42.39375,-72.532455,-,-,-,-,-,-,-,-,-,-,0.0,-0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:14,-,-,-,-,42.393806,-72.53292,-,-,-,-,-,-,-,-,-,-,0.0,-0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:15,-,-,-,-,42.393795,-72.53283,-,-,-,-,-,-,-,-,-,-,42.38083,-72.53384,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:16,-,-,-,-,42.39382,-72.53289,-,-,-,-,-,-,-,-,-,-,42.37885,-72.534706,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:17,-,-,-,-,42.393806,-72.53297,-,-,-,-,-,-,-,-,-,-,42.37887,-72.53726,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:18,-,-,-,-,42.393417,-72.53267,-,-,-,-,-,-,-,-,-,-,42.37826,-72.53725,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:19,-,-,-,-,42.391827,-72.53362,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8:20,-,-,-,-,42.385918,-72.53118,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.45652,-72.56838,-,-,-,-,-,-
8:21,-,-,-,-,42.382717,-72.53189,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.46648,-72.579544,-,-,-,-,-,-
8:22,-,-,-,-,42.374973,-72.53271,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.466103,-72.57977,-,-,-,-,-,-
8:23,-,-,-,-,42.36735,-72.53356,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.45861,-72.58245,-,-,-,-,-,-
8:24,-,-,-,-,42.366055,-72.53704,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.4578,-72.58154,-,-,-,-,-,-
8:25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.378365,-72.535835,-,-,-,-,-,-,-,-,42.459522,-72.57916,-,-,-,-,-,-
8:26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.37833,-72.53578,-,-,-,-,-,-,-,-,42.459274,-72.57768,-,-,-,-,-,-
8:27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.378315,-72.53579,-,-,-,-,-,-,-,-,42.455997,-72.56896,-,-,-,-,-,-
8:28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.378345,-72.53584,-,-,-,-,-,-,-,-,42.452354,-72.563866,-,-,-,-,-,-
8:29,-,-,0.0,-1.1095744E27,-,-,-,-,-,-,-,-,-,-,-,-,42.37834,-72.535805,-,-,-,-,-,-,-,-,42.448853,-72.55843,-,-,-,-,-,-
8:30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.37836,-72.53578,-,-,-,-,-,-,-,-,42.440453,-72.549515,-,-,-,-,-,-
8:31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.37837,-72.53579,-,-,-,-,-,-,-,-,42.429928,-72.54235,-,-,-,-,-,-
8:32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.37837,-72.53581,-,-,-,-,-,-,-,-,42.41942,-72.53685,-,-,-,-,-,-
8:33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.37838,-72.53582,-,-,-,-,-,-,-,-,42.409256,-72.53789,-,-,-,-,-,-
8:34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.378372,-72.53581,-,-,-,-,-,-,-,-,42.40983,-72.53186,-,-,-,-,-,-
8:35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.378403,-72.53584,-,-,-,-,-,-,-,-,42.408306,-72.53046,-,-,-,-,-,-
8:36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.3783,-72.535774,-,-,-,-,-,-,-,-,42.403072,-72.529015,42.354706,-72.4802,-,-,-,-
8:37,-,-,-,-,42.3752,-72.532555,-,-,-,-,-,-,-,-,-,-,42.37832,-72.53586,-,-,-,-,-,-,-,-,42.39641,-72.52753,-,-,-,-,-,-
8:38,-,-,-,-,42.382385,-72.53172,-,-,-,-,-,-,-,-,-,-,42.378353,-72.53585,-,-,-,-,-,-,-,-,42.395313,-72.52709,42.366455,-72.492676,-,-,-,-
8:39,-,-,-,-,42.385506,-72.530846,-,-,-,-,0.0,-0.0,-,-,-,-,42.378338,-72.53583,-,-,-,-,-,-,-,-,42.393402,-72.52603,42.368042,-72.49472,-,-,-,-
8:40,-,-,-,-,42.39203,-72.53353,-,-,0.0,-0.0,42.396175,-72.5336,-,-,-,-,42.37834,-72.53583,-,-,-,-,-,-,-,-,42.390903,-72.52524,-,-,-,-,-,-
8:41,-,-,-,-,42.395916,-72.532936,-,-,0.0,-1.8111362E22,42.396156,-72.53367,-,-,0.0,-0.0,42.37834,-72.53581,-,-,-,-,-,-,-,-,42.387817,-72.5239,42.36939,-72.50174,-,-,-,-
8:42,-,-,-,-,42.3959,-72.53375,-,-,0.0,-0.0,42.39615,-72.53362,-,-,0.0,-0.0,-,-,-,-,-,-,-,-,-,-,42.386253,-72.522415,42.37059,-72.50171,-,-,-,-
8:43,-,-,-,-,42.39601,-72.53365,-,-,-,-,42.396152,-72.53362,-,-,0.0,-0.0,-,-,-,-,-,-,-,-,-,-,42.38245,-72.52023,42.372723,-72.50119,-,-,-,-
8:44,-,-,-,-,42.394493,-72.53444,-,-,-,-,42.396122,-72.53365,-,-,0.0,-0.0,-,-,-,-,-,-,-,-,-,-,42.378315,-72.51995,42.37625,-72.500534,-,-,-,-
8:45,-,-,-,-,42.39215,-72.53467,-,-,-,-,42.3961,-72.53369,-,-,0.0,-0.0,-,-,-,-,-,-,-,-,-,-,42.37768,-72.51995,42.375736,-72.50699,-,-,-,-
8:46,-,-,-,-,42.39217,-72.53467,-,-,-,-,42.396133,-72.53362,-,-,0.0,-0.0,-,-,-,-,0.0,-0.0,-,-,-,-,42.375977,-72.51988,42.375904,-72.51235,-,-,-,-
8:47,-,-,-,-,42.391773,-72.53448,-,-,-,-,42.396122,-72.53364,-,-,0.0,-0.0,-,-,-,-,0.0,-1.8111362E22,-,-,-,-,42.373375,-72.519844,42.375866,-72.51655,-,-,-,-
8:48,-,-,-,-,42.391792,-72.53404,-,-,-,-,42.396137,-72.53362,-,-,0.0,-0.0,-,-,-,-,0.0,-0.0,-,-,-,-,42.364857,-72.52057,42.377033,-72.51992,-,-,-,-
8:49,-,-,-,-,42.392002,-72.53394,-,-,-,-,42.39614,-72.53361,-,-,0.0,-0.0,-,-,-,-,42.3937,-72.53258,-,-,-,-,42.35594,-72.52094,42.377563,-72.51989,-,-,-,-
8:50,-,-,-,-,42.39231,-72.534325,-,-,-,-,42.39615,-72.533585,-,-,0.0,-0.0,-,-,-,-,42.39363,-72.53271,-,-,-,-,42.3528,-72.523125,42.381477,-72.51927,-,-,-,-
8:51,-,-,-,-,42.392277,-72.53451,-,-,-,-,42.396145,-72.5336,-,-,-,-,-,-,-,-,42.39367,-72.53264,-,-,-,-,42.35022,-72.5274,42.384747,-72.52154,-,-,-,-
8:52,-,-,-,-,42.39223,-72.53454,-,-,-,-,42.39615,-72.533615,-,-,-,-,-,-,-,-,42.393677,-72.532524,-,-,-,-,42.34889,-72.52891,42.38817,-72.52413,-,-,-,-
8:53,-,-,-,-,42.392216,-72.534515,-,-,-,-,42.39612,-72.53359,-,-,-,-,-,-,-,-,42.393623,-72.53259,-,-,-,-,42.348915,-72.52887,42.391922,-72.52536,-,-,-,-
8:54,-,-,-,-,42.39222,-72.53458,-,-,-,-,42.396126,-72.533585,-,-,0.0,-0.0,-,-,-,-,42.3928,-72.53339,-,-,-,-,42.348892,-72.52884,42.394722,-72.52679,-,-,-,-
8:55,-,-,-,-,42.392048,-72.53411,-,-,-,-,42.396133,-72.53358,-,-,-,-,-,-,-,-,42.388462,-72.53215,-,-,-,-,42.34833,-72.529686,42.398483,-72.52811,-,-,-,-
8:56,-,-,-,-,42.39191,-72.53436,-,-,-,-,42.396156,-72.533585,-,-,-,-,-,-,-,-,42.38405,-72.536,-,-,-,-,42.35046,-72.5303,42.40602,-72.52984,-,-,-,-
