ID	s	d	ts	te	LLC	size	parent	parentTime	replica
----------------------------------------------------
290	2	11	10	39	29	100		2		39			0	0	0	1	0
74	2	11	24	36	12	25		2		36			0	0	0	1	0
87	2	11	33	36	3	25		2		36			0	0	0	1	0
150	3	10	27	38	11	100		0		38			0	0	0	1	1
154	3	10	6	35	29	10		0		35			0	0	0	2	0
82	3	10	6	40	34	100		0		40			0	0	0	1	1
22	3	10	12	38	26	50		0		38			0	0	0	1	1
280	3	10	29	36	7	1		0		36			0	2	0	0	0
125	2	11	30	33	3	1		2		33			0	1	0	0	0
121	2	11	30	34	4	10		2		34			0	0	0	1	0
294	2	11	4	35	31	1		2		35			0	1	0	0	0
41	2	11	16	37	21	50		2		37			0	0	0	1	0
212	2	11	0	38	38	50		2		38			0	0	0	1	0
275	2	11	3	36	33	1		2		36			0	1	0	0	0
290	2	11	10	40	30	100		2		40			0	0	0	1	0
209	2	11	18	36	18	10		2		36			0	0	0	1	0
87	2	11	33	37	4	25		2		37			0	0	0	1	0
31	3	10	20	35	15	1		0		35			0	2	0	0	0
179	3	10	10	37	27	25		0		37			0	0	0	1	1
84	3	10	33	36	3	10		0		36			0	0	0	2	0
82	3	10	6	41	35	100		0		41			0	0	0	1	1
22	3	10	12	39	27	50		0		39			0	0	0	1	1
280	3	10	29	37	8	1		0		37			0	2	0	0	0
241	3	10	36	38	2	50		3		38			2	0	0	0	1
221	2	11	11	58	47	500		2		58			0	0	0	1	0
0	2	11	9	35	26	10		2		35			0	0	0	1	0
67	2	11	2	36	34	10		2		36			0	0	0	1	0
231	2	11	15	60	45	500		2		60			0	0	0	1	0
120	2	11	33	36	3	1		2		36			0	1	0	0	0
275	2	11	3	37	34	1		2		37			0	1	0	0	0
290	2	11	10	41	31	100		2		41			0	0	0	1	0
209	2	11	18	37	19	10		2		37			0	0	0	1	0
125	2	11	30	37	7	1		2		37			0	1	0	0	0
276	2	11	36	37	1	10		2		37			2	0	0	1	0
152	3	10	15	38	23	50		0		38			0	0	0	1	1
154	3	10	6	37	31	10		0		37			0	0	0	2	0
82	3	10	6	42	36	100		0		42			0	0	0	1	1
22	3	10	12	40	28	50		0		40			0	0	0	1	1
280	3	10	29	38	9	1		0		38			0	2	0	0	0
241	3	10	36	39	3	50		3		39			0	0	0	0	1
291	3	10	37	40	3	100		3		40			2	0	0	0	1
158	2	11	24	37	13	50		2		37			0	0	0	1	0
264	2	11	6	36	30	10		2		36			0	0	0	1	0
212	2	11	0	39	39	50		2		39			0	0	0	1	0
41	2	11	16	39	23	50		2		39			0	0	0	1	0
87	2	11	33	38	5	25		2		38			0	0	0	1	0
293	2	11	36	38	2	25		2		38			2	0	0	1	0
275	2	11	3	38	35	1		2		38			0	1	0	0	0
290	2	11	10	42	32	100		2		42			0	0	0	1	0
231	2	11	15	62	47	500		2		62			0	0	0	1	0
125	2	11	30	38	8	1		2		38			0	1	0	0	0
276	2	11	36	38	2	10		2		38			0	0	0	1	0
150	3	10	27	41	14	100		0		41			0	0	0	1	1
179	3	10	10	39	29	25		0		39			0	0	0	1	1
84	3	10	33	38	5	10		0		38			0	0	0	2	0
82	3	10	6	43	37	100		0		43			0	0	0	1	1
22	3	10	12	41	29	50		0		41			0	0	0	1	1
280	3	10	29	39	10	1		0		39			0	2	0	0	0
291	3	10	37	41	4	100		3		41			0	0	0	0	1
