ID	s	d	ts	te	LLC	ELC
1279	32	4	6	7	5	0.4
1128	1	4	6	7	5	0.85
75	17	4	0	7	7	0.43
263	17	4	1	7	7	0.43
451	17	4	2	7	7	0.43
639	17	4	3	7	7	0.43
827	17	4	4	7	7	0.43
1015	17	4	5	7	7	0.43
1203	17	4	6	7	7	0.43
1178	11	4	6	7	5	0.43
100	22	5	0	7	7	0.37
288	22	5	1	7	7	0.37
476	22	5	2	7	7	0.37
664	22	5	3	7	7	0.37
852	22	5	4	7	7	0.37
1040	22	5	5	7	7	0.37
1228	22	5	6	7	7	0.37
44	10	5	0	7	7	0.36
232	10	5	1	7	7	0.36
420	10	5	2	7	7	0.36
608	10	5	3	7	7	0.36
796	10	5	4	7	7	0.36
984	10	5	5	7	7	0.36
1172	10	5	6	7	7	0.36
1155	6	5	6	7	1	0.45
1338	5	6	7	7	1	0.45
101	22	6	0	7	7	0.37
289	22	6	1	7	7	0.37
477	22	6	2	7	7	0.37
665	22	6	3	7	7	0.37
853	22	6	4	7	7	0.37
1041	22	6	5	7	7	0.37
1229	22	6	6	7	7	0.37
45	10	6	0	7	7	0.36
233	10	6	1	7	7	0.36
421	10	6	2	7	7	0.36
609	10	6	3	7	7	0.36
797	10	6	4	7	7	0.36
985	10	6	5	7	7	0.36
1173	10	6	6	7	7	0.36
1325	3	7	7	7	1	0.43
1187	12	7	6	7	5	0.44
1169	9	7	6	7	1	0.43
1165	8	7	6	7	1	0.45
1349	7	8	7	7	1	0.45
1326	3	8	7	7	1	0.45
1188	12	8	6	7	5	0.41
1170	9	8	6	7	1	0.45
1354	8	9	7	7	1	0.45
1350	7	9	7	7	1	0.43
1327	3	9	7	7	1	0.43
1189	12	9	6	7	5	0.5
1344	6	10	7	7	7	0.36
1339	5	10	7	7	7	0.36
1204	17	11	6	7	8	0.86
1016	17	11	5	7	8	0.86
828	17	11	4	7	8	0.86
640	17	11	3	7	8	0.86
452	17	11	2	7	8	0.86
264	17	11	1	7	8	0.86
76	17	11	0	7	8	0.86
1330	4	11	7	7	5	0.43
1280	32	11	6	7	5	0.43
1359	9	12	7	7	5	0.5
1355	8	12	7	7	5	0.41
1351	7	12	7	7	5	0.44
1328	3	12	7	7	5	0.34
1180	11	17	6	7	7	0.86
1131	1	17	6	7	7	1.28
1282	32	17	6	7	7	0.83
1332	4	17	7	7	7	0.43
166	35	19	0	7	7	0.44
354	35	19	1	7	7	0.44
542	35	19	2	7	7	0.44
730	35	19	3	7	7	0.44
918	35	19	4	7	7	0.44
1106	35	19	5	7	7	0.44
1294	35	19	6	7	7	0.44
47	10	22	0	7	7	0.37
235	10	22	1	7	7	0.37
423	10	22	2	7	7	0.37
611	10	22	3	7	7	0.37
799	10	22	4	7	7	0.37
987	10	22	5	7	7	0.37
1175	10	22	6	7	7	0.37
1363	10	22	7	7	7	0.37
1346	6	22	7	7	7	0.37
1341	5	22	7	7	7	0.37
4	1	25	0	7	10	1.76
192	1	25	1	7	10	1.76
380	1	25	2	7	10	1.76
568	1	25	3	7	10	1.76
756	1	25	4	7	10	1.7
944	1	25	5	7	10	1.7
1132	1	25	6	7	10	1.76
85	19	29	0	7	8	0.35
273	19	29	1	7	8	0.35
461	19	29	2	7	8	0.35
649	19	29	3	7	8	0.35
837	19	29	4	7	8	0.35
1025	19	29	5	7	8	0.35
1213	19	29	6	7	8	0.35
1401	19	29	7	7	8	0.35
1134	1	30	6	7	11	1.75
104	22	31	0	7	7	0.4
292	22	31	1	7	7	0.4
480	22	31	2	7	7	0.4
668	22	31	3	7	7	0.4
856	22	31	4	7	7	0.4
1044	22	31	5	7	7	0.4
1232	22	31	6	7	7	0.4
1420	22	31	7	7	7	0.4
48	10	31	0	7	7	0.4
236	10	31	1	7	7	0.4
424	10	31	2	7	7	0.4
612	10	31	3	7	7	0.4
800	10	31	4	7	7	0.4
988	10	31	5	7	7	0.4
1176	10	31	6	7	7	0.4
1364	10	31	7	7	7	0.4
31	6	31	0	7	7	0.4
219	6	31	1	7	7	0.4
407	6	31	2	7	7	0.4
595	6	31	3	7	7	0.4
783	6	31	4	7	7	0.4
971	6	31	5	7	7	0.4
1159	6	31	6	7	7	0.4
1347	6	31	7	7	7	0.4
26	5	31	0	7	7	0.4
214	5	31	1	7	7	0.4
402	5	31	2	7	7	0.4
590	5	31	3	7	7	0.4
