ID	s	d	ts	te	LLC	ELC
149	20	17	0	6	6	0.24
415	20	17	1	6	6	0.24
681	20	17	2	6	6	0.24
947	20	17	3	6	6	0.24
1213	20	17	4	6	6	0.24
1479	20	17	5	6	6	0.24
133	19	17	0	6	6	0.19
399	19	17	1	6	6	0.19
665	19	17	2	6	6	0.19
931	19	17	3	6	6	0.19
1197	19	17	4	6	6	0.19
1463	19	17	5	6	6	0.19
1713	17	19	6	6	6	0.19
1602	1	19	6	6	7	0.39
1621	4	19	6	6	4	0.19
224	36	19	0	6	6	0.19
490	36	19	1	6	6	0.19
756	36	19	2	6	6	0.19
698	21	19	2	6	6	0.42
432	21	19	1	6	6	0.42
166	21	19	0	6	6	0.42
789	39	19	2	6	6	0.39
523	39	19	1	6	6	0.39
257	39	19	0	6	6	0.39
1022	36	19	3	6	6	0.19
964	21	19	3	6	6	0.42
1055	39	19	3	6	6	0.39
1288	36	19	4	6	6	0.19
1230	21	19	4	6	6	0.42
1321	39	19	4	6	6	0.39
1554	36	19	5	6	6	0.19
1382	10	19	5	6	7	0.38
1116	10	19	4	6	7	0.38
850	10	19	3	6	7	0.38
584	10	19	2	6	7	0.38
318	10	19	1	6	7	0.38
52	10	19	0	6	7	0.38
1496	21	19	5	6	6	0.42
1480	20	19	5	6	4	0.23
1497	21	20	5	6	7	0.62
53	10	20	0	6	8	0.6
319	10	20	1	6	8	0.6
585	10	20	2	6	8	0.6
851	10	20	3	6	8	0.6
1117	10	20	4	6	8	0.6
1383	10	20	5	6	8	0.6
1555	36	20	5	6	7	0.39
1322	39	20	4	6	7	0.59
1231	21	20	4	6	7	0.62
1289	36	20	4	6	7	0.39
1056	39	20	3	6	7	0.59
965	21	20	3	6	7	0.62
1023	36	20	3	6	7	0.39
258	39	20	0	6	7	0.59
524	39	20	1	6	7	0.59
790	39	20	2	6	7	0.59
167	21	20	0	6	7	0.62
433	21	20	1	6	7	0.62
699	21	20	2	6	7	0.62
757	36	20	2	6	7	0.39
491	36	20	1	6	7	0.39
225	36	20	0	6	7	0.39
1730	19	20	6	6	4	0.23
1714	17	20	6	6	6	0.24
1603	1	20	6	6	7	0.4
1622	4	20	6	6	3	0.19
1650	10	21	6	6	6	0.19
1589	39	21	5	6	1	0.23
1556	36	21	5	6	3	0.23
119	17	21	0	6	8	0.63
385	17	21	1	6	8	0.63
651	17	21	2	6	8	0.63
917	17	21	3	6	8	0.63
1183	17	21	4	6	8	0.63
1449	17	21	5	6	8	0.63
1338	1	21	5	6	9	0.88
1167	15	21	4	6	9	1.13
1072	1	21	4	6	9	0.88
806	1	21	3	6	9	0.88
1357	4	21	5	6	7	0.57
1465	19	21	5	6	7	0.38
1215	20	21	4	6	7	0.61
1091	4	21	4	6	7	0.57
1199	19	21	4	6	7	0.38
151	20	21	0	6	7	0.61
417	20	21	1	6	7	0.61
683	20	21	2	6	7	0.61
949	20	21	3	6	7	0.61
103	15	21	0	6	7	0.63
369	15	21	1	6	7	0.63
635	15	21	2	6	7	0.63
540	1	21	2	6	7	0.88
274	1	21	1	6	7	0.88
8	1	21	0	6	7	0.88
901	15	21	3	6	7	0.63
27	4	21	0	6	7	0.57
293	4	21	1	6	7	0.57
559	4	21	2	6	7	0.57
825	4	21	3	6	7	0.57
933	19	21	3	6	7	0.38
667	19	21	2	6	7	0.38
401	19	21	1	6	7	0.38
135	19	21	0	6	7	0.38
1528	33	24	5	6	3	0.18
249	38	30	0	6	6	0.21
515	38	30	1	6	6	0.21
781	38	30	2	6	6	0.21
1047	38	30	3	6	6	0.21
1313	38	30	4	6	6	0.21
1579	38	30	5	6	6	0.21
1788	24	33	6	6	3	0.18
1768	21	36	6	6	3	0.23
1655	10	36	6	6	7	0.38
1486	20	36	5	6	6	0.42
1736	19	36	6	6	6	0.19
1628	4	36	6	6	6	0.38
1609	1	36	6	6	8	0.64
1720	17	36	6	6	7	0.38
1594	39	36	5	6	3	0.2
1792	30	38	6	6	6	0.21
1828	36	39	6	6	3	0.2
1722	17	39	6	6	8	0.63
1611	1	39	6	6	9	0.83
1630	4	39	6	6	7	0.61
1738	19	39	6	6	7	0.42
