ID	s	d	ts	te	LLC	ELC
891	22	13	10	11	9	0.5
923	4	17	11	11	6	0.45
60	23	17	0	11	9	0.36
155	23	17	1	11	9	0.36
250	23	17	2	11	9	0.36
338	23	17	3	11	9	0.36
426	23	17	4	11	9	0.36
504	23	17	5	11	9	0.36
582	23	17	6	11	9	0.36
660	23	17	7	11	9	0.36
738	23	17	8	11	9	0.36
816	23	17	9	11	9	0.36
894	23	17	10	11	9	0.36
943	12	19	11	11	10	0.38
45	20	19	0	11	4	0.36
140	20	19	1	11	4	0.36
235	20	19	2	11	4	0.36
330	20	19	3	11	4	0.36
418	20	19	4	11	4	0.36
496	20	19	5	11	4	0.36
574	20	19	6	11	4	0.36
652	20	19	7	11	4	0.36
730	20	19	8	11	4	0.36
808	20	19	9	11	4	0.36
886	20	19	10	11	4	0.36
958	19	20	11	11	4	0.36
944	12	20	11	11	11	0.83
33	17	20	0	11	7	0.28
128	17	20	1	11	7	0.28
223	17	20	2	11	7	0.28
318	17	20	3	11	7	0.28
406	17	20	4	11	7	0.28
484	17	20	5	11	7	0.28
457	4	20	5	11	7	0.73
379	4	20	4	11	7	0.73
291	4	20	3	11	7	0.73
196	4	20	2	11	7	0.73
101	4	20	1	11	7	0.73
6	4	20	0	11	7	0.73
562	17	20	6	11	7	0.28
640	17	20	7	11	7	0.28
718	17	20	8	11	7	0.28
796	17	20	9	11	7	0.28
874	17	20	10	11	7	0.28
952	17	20	11	11	7	0.28
535	4	20	6	11	7	0.73
613	4	20	7	11	7	0.73
691	4	20	8	11	7	0.73
769	4	20	9	11	7	0.73
847	4	20	10	11	7	0.73
925	4	20	11	11	7	0.73
62	23	20	0	11	9	0.36
157	23	20	1	11	9	0.36
252	23	20	2	11	9	0.36
340	23	20	3	11	9	0.36
428	23	20	4	11	9	0.36
506	23	20	5	11	9	0.36
584	23	20	6	11	9	0.36
662	23	20	7	11	9	0.36
740	23	20	8	11	9	0.36
818	23	20	9	11	9	0.36
896	23	20	10	11	9	0.36
939	10	21	11	11	6	0.38
918	39	21	10	11	1	0.5
358	36	21	3	11	4	1.0
270	36	21	2	11	4	1.0
175	36	21	1	11	4	1.0
80	36	21	0	11	4	1.0
947	13	22	11	11	9	0.5
569	19	23	6	11	9	0.72
965	20	23	11	11	9	0.36
945	12	23	11	11	12	1.28
959	19	23	11	11	9	0.72
953	17	23	11	11	9	0.36
926	4	23	11	11	9	0.38
916	38	30	10	11	6	0.42
742	24	33	8	11	4	0.45
820	24	33	9	11	4	0.45
898	24	33	10	11	4	0.45
976	24	33	11	11	4	0.45
94	39	36	0	11	3	0.5
189	39	36	1	11	3	0.5
284	39	36	2	11	3	0.5
372	39	36	3	11	3	0.5
245	21	36	2	11	3	1.0
150	21	36	1	11	3	1.0
55	21	36	0	11	3	1.0
980	30	38	11	11	6	0.42
968	21	39	11	11	1	0.5
940	10	39	11	11	6	0.29
936	9	3	11	12	1	0.42
933	8	3	11	12	1	0.42
930	7	3	11	12	1	0.33
970	23	4	11	12	9	0.38
42	20	4	0	12	8	0.45
137	20	4	1	12	8	0.45
232	20	4	2	12	8	0.45
327	20	4	3	12	8	0.45
415	20	4	4	12	8	0.45
493	20	4	5	12	8	0.45
571	20	4	6	12	8	0.45
649	20	4	7	12	8	0.45
727	20	4	8	12	8	0.45
805	20	4	9	12	8	0.45
785	12	4	9	12	11	0.79
707	12	4	8	12	11	0.79
629	12	4	7	12	11	0.79
551	12	4	6	12	11	0.79
473	12	4	5	12	11	0.79
395	12	4	4	12	11	0.79
307	12	4	3	12	11	0.79
212	12	4	2	12	11	0.79
117	12	4	1	12	11	0.79
22	12	4	0	12	11	0.79
883	20	4	10	12	8	0.45
863	12	4	10	12	11	0.79
877	19	4	10	12	8	0.81
799	19	4	9	12	8	0.81
721	19	4	8	12	8	0.81
643	19	4	7	12	8	0.81
565	19	4	6	12	8	0.81
487	19	4	5	12	8	0.81
961	20	4	11	12	8	0.45
941	12	4	11	12	12	1.19
955	19	4	11	12	8	0.81
949	17	4	11	12	6	0.45
929	6	5	11	12	1	0.42
1006	5	6	12	12	1	0.42
997	3	7	12	12	1	0.33
937	9	7	11	12	1	0.42
934	8	7	11	12	1	0.42
1009	7	8	12	12	1	0.42
998	3	8	12	12	1	0.42
938	9	8	11	12	1	0.42
1013	8	9	12	12	1	0.42
1010	7	9	12	12	1	0.42
999	3	9	12	12	1	0.42
353	36	10	3	12	6	0.79
995	39	10	11	12	6	0.29
967	21	10	11	12	6	0.38
