ID	s	d	ts	te	LLC	size	parent	parentTime	replica
73	1	9	12	17	5	1	24	16	2
42	6	8	13	17	4	1	24	16	2
25	6	11	12	17	5	1	24	16	2
47	5	9	15	19	4	1	17	18	2
76	1	8	15	20	5	1	17	19	2
92	6	8	15	20	5	1	17	19	2
86	1	8	6	23	17	10	7	22	2
61	5	9	11	23	12	10	7	22	2
2	1	11	8	24	16	10	7	23	2
11	6	8	9	24	15	10	7	23	2
40	0	11	15	25	10	10	7	24	2
89	3	10	11	28	17	50	7	26	1
9	1	9	13	27	14	10	7	26	1
23	2	10	7	28	21	25	7	27	1
63	5	9	5	28	23	25	7	27	1
50	7	10	8	28	20	1	26	27	4
96	7	10	13	29	16	10	7	28	1
18	3	10	12	29	17	1	11	28	3
54	2	8	0	1	1	1	2	0	1
98	2	10	0	3	3	100	2	0	1
45	2	9	1	2	1	1	2	1	1
75	3	9	1	2	1	1	3	1	3
21	4	8	1	2	1	10	4	1	4
34	2	10	5	6	1	25	2	5	1
1	4	8	5	6	1	10	4	5	4
16	2	9	6	7	1	10	2	6	1
90	6	10	1	7	6	1	3	6	3
79	7	9	5	7	2	1	10	6	3
65	0	8	0	7	7	1	10	6	3
23	2	10	7	8	1	25	2	7	1
52	3	9	7	11	4	10	3	7	3
58	1	8	1	8	7	1	10	7	3
88	0	10	4	9	5	1	3	8	3
44	0	8	4	9	5	1	10	8	3
13	6	10	3	9	6	1	10	8	3
7	2	10	9	12	3	100	2	9	1
43	4	8	9	10	1	1	4	9	4
50	7	10	8	10	2	1	21	9	5
29	2	10	10	12	2	50	2	10	1
37	2	10	10	11	1	10	2	10	1
85	4	10	10	11	1	25	4	10	4
62	2	10	11	12	1	25	2	11	1
41	7	10	2	12	10	25	4	11	4
46	4	10	11	12	1	10	4	11	4
81	7	9	7	12	5	10	21	11	5
95	2	10	12	13	1	25	2	12	1
18	3	10	12	13	1	1	3	12	3
8	4	10	12	13	1	10	4	12	4
87	0	8	9	14	5	1	10	13	3
69	1	9	8	15	7	1	10	14	3
19	5	9	1	15	14	10	21	14	5
71	7	8	11	15	4	10	21	14	5
84	0	10	1	15	14	10	21	14	5
97	7	10	6	16	10	25	4	15	4
96	7	10	13	16	3	10	21	15	5
12	5	9	12	17	5	1	10	16	3
93	7	10	4	19	15	50	21	16	5
53	6	10	1	17	16	10	21	16	5
80	7	10	15	17	2	1	26	16	5
73	1	9	12	18	6	1	10	17	3
42	6	8	13	18	5	1	10	17	3
64	3	10	9	20	11	50	21	17	5
89	3	10	11	20	9	50	21	17	5
47	5	9	15	19	4	1	3	18	3
59	6	8	3	19	16	10	22	18	5
15	3	10	5	24	19	100	21	19	4
49	7	10	11	24	13	100	21	19	4
76	1	8	15	21	6	1	10	20	3
92	6	8	15	21	6	1	26	20	5
86	1	8	6	24	18	10	26	23	5
61	5	9	11	24	13	10	26	23	5
11	6	8	9	25	16	10	26	24	5
67	3	11	15	29	14	100	4	26	0
60	0	10	0	28	28	25	26	26	5
6	7	11	10	28	18	1	10	27	3
9	1	9	13	28	15	10	26	27	5
40	0	11	15	29	14	10	4	28	1
48	2	11	0	29	29	1	21	28	5
99	0	11	6	29	23	10	26	28	5
55	0	9	7	11	4	100	0	8	2
30	5	8	8	11	3	100	5	8	2
86	1	8	6	12	6	10	6	8	5
35	5	9	3	10	7	50	15	8	3
60	0	10	0	9	9	25	15	8	4
10	0	8	1	10	9	50	15	8	3
63	5	9	5	9	4	25	15	8	4
28	0	8	7	9	2	25	15	8	4
31	5	9	7	9	2	25	15	8	4
65	0	8	0	9	9	1	19	8	3
84	0	10	1	9	8	10	19	8	3
19	5	9	1	9	8	10	19	8	3
